Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-07-22,94.18196105957031,94.86214066616996,93.53325004616464,93.62038702393836,89001600
2020-07-23,89.8951187133789,93.99314144318696,89.08664931990235,93.91568143989768,197004400
2020-07-24,89.67240905761719,90.01613315170617,86.31265765589474,88.09662345174227,185438800
2020-07-27,91.79769134521484,91.88967418415685,90.50995376100627,90.73264205708286,121214000
2020-07-28,90.28966522216797,91.54594138277622,90.28481935549645,91.36923715007886,103625600
2020-07-29,92.02037811279297,92.20434377285328,90.73505619988047,90.7713632677891,90329200
2020-07-30,93.13385009765625,93.23793283077006,90.7883172670131,91.1949712384762,158130000
2020-07-31,102.8838882446289,103.03396237192649,97.62156512089064,99.61611941491957,374336800
2020-08-03,105.4763412475586,108.0905539794476,104.46454472688619,104.76227011908288,308151200
2020-08-04,106.18073272705078,107.26998931138203,104.94381752005107,105.66515009521494,173071600
2020-08-05,106.56556701660156,106.88508394782573,105.43758079842524,105.90233336993235,121776800
2020-08-06,110.2835693359375,110.77736760867772,106.30899814130089,106.89719478834881,202428800
2020-08-07,107.77621459960938,110.26177241107233,106.98083639595373,109.80588355038324,198045600
2020-08-10,109.34269714355469,110.35874505613272,106.69709332777636,109.21902314455248,212403600
2020-08-11,106.09086608886719,109.10505737675727,105.83139636601508,108.60794885006547,187902400
2020-08-12,109.61672973632812,109.87377217439806,106.98567459916234,107.17966637873178,165598000
2020-08-13,111.55667877197266,112.55817781440562,110.50667808377885,110.99409224252035,210082000
2020-08-14,111.45723724365234,111.5469586132698,109.65065854076958,111.38206488530741,165565200
2020-08-17,111.16625213623047,112.60181637912858,110.54062239475888,112.57756555807367,119561600
2020-08-18,112.09257507324219,112.51693852673742,110.58426581680665,110.91890789561272,105633600
2020-08-19,112.23323822021484,113.64455185030188,112.1386696245519,112.49998249055456,145538000
2020-08-20,114.7236328125,114.83760501028006,112.25747159683876,112.27444791147464,126907200
2020-08-21,120.6355972290039,121.11815663863275,115.66933064133964,115.68145234899778,338054800
2020-08-24,122.07845306396484,124.91805616382935,120.21610549023623,124.83317459173283,345937600
2020-08-25,121.07695770263672,121.42130160395935,119.35768029886763,120.95329109467639,211495600
2020-08-26,122.72348022460938,123.17936898693925,121.32671591454528,122.39126546065715,163022400
2020-08-27,121.25640106201172,123.65708422717836,120.11425182681509,123.32486945527224,155552400
2020-08-28,121.05998992919922,122.64589153107447,120.83689273182479,122.22880256231407,187630000
2020-08-31,125.1653823852539,127.06653708598974,122.2166692582802,123.74922926791106,225702700
2020-09-01,130.15106201171875,130.75245576113278,126.61066398001222,128.7737011544299,151948100
2020-09-02,127.45452117919922,133.8369490459464,123.18664339139957,133.45865994566697,200119000
2020-09-03,117.25041198730469,124.97140134269283,116.8818246649217,123.09935930505591,257599600
2020-09-04,117.3280258178711,119.98575186395645,107.56039029271544,116.46474975837279,332607200
2020-09-08,109.43243408203125,115.41717011939836,109.2966383541402,110.52850171438395,231366600
2020-09-09,113.79730987548828,115.56266164657546,111.79916649731042,113.73911382379356,176940500
2020-09-10,110.08230590820312,116.88182317054356,109.12203408038299,116.74602745349068,182274400
2020-09-11,108.63704681396484,111.77006490232608,106.69709954942977,111.12987875287997,180860300
2020-09-14,111.89614868164062,112.4490333059739,109.41301877590674,111.27536620520715,140150100
2020-09-15,112.07076263427734,115.26197700807842,110.19871308977739,114.77699015613865,184642000
2020-09-16,108.76313781738281,112.51693833812011,108.67584374495958,111.7700619173575,154679000
2020-09-17,107.02690124511719,108.83105303274593,105.44584667867372,106.42552224944927,178011000
2020-09-18,103.63198852539062,107.5506832359034,102.90450823656477,107.08509999522968,287104900
2020-09-21,106.77470397949219,106.88140167582651,100.0042844680874,101.40104892896447,195713800
2020-09-22,108.45274353027344,109.47121874863322,105.88231946545223,109.29662320835186,183055400
2020-09-23,103.90357971191406,108.74374613747926,103.56408301527631,108.2684611226227,150718700
2020-09-24,104.97055053710938,106.93959588038079,101.84723417179123,102.01212791770884,167743300
2020-09-25,108.90865325927734,109.06385261398287,104.43707360612179,105.17425574034796,149981400
2020-09-28,111.50818634033203,111.85737749779037,109.39364317586228,111.55668799010066,137672400
2020-09-29,110.66427612304688,111.84764500982021,110.15989314523581,111.11047045765872,99382200
2020-09-30,112.33265686035156,113.7391232285353,110.20841939441779,110.3733131547286,142675200
2020-10-01,113.28321838378906,114.18529413378772,112.35204460964711,114.10769446919807,116120400
2020-10-02,109.62642669677734,111.90587086149135,108.85045216012577,109.50033277715342,144712000
2020-10-05,113.0019302368164,113.14742776439395,110.14051092914185,110.4897020352033,106243800
2020-10-06,109.76221466064453,112.63333559022071,108.87953514429641,112.22594105943094,161498200
2020-10-07,111.62457275390625,112.08046156708008,110.70309331868141,111.17838574960963,96849000
2020-10-08,111.51789093017578,112.90495378456839,111.14929614349687,112.75945623194846,83477200
2020-10-09,113.45780944824219,113.48690747123634,111.46936067345082,111.81855175000258,100506900
2020-10-12,120.66472625732422,121.42130453731181,115.6984583933761,116.45503667336371,240226800
2020-10-13,117.46381378173828,121.62500184957032,116.05735487456657,121.50860234126793,262330500
2020-10-14,117.55110931396484,119.33585728240598,116.02825097556021,117.36681195189107,150712000
2020-10-15,117.08552551269531,117.56081055796655,114.60239518602361,115.15527990408137,112559200
2020-10-16,115.44625854492188,117.90029805270329,115.24256497002679,117.63840102761567,115393800
2020-10-19,112.49754333496094,116.80422116143153,112.18715207359088,116.35803418573154,120639300
2020-10-20,113.98162078857422,115.40748342708119,112.15806534871491,112.71095010647143,124423700
2020-10-21,113.3608169555664,115.14556482205545,112.95342242055368,113.16681779596242,89946000
2020-10-22,112.27446746826172,114.49570836063894,111.1492943069264,113.92341996987348,101988000
2020-10-23,111.58578491210938,113.05044739689119,110.84860276475848,112.8952480394225,82572600
2020-10-26,111.59546661376953,113.05042702646372,109.49061825916863,110.58669317293085,111850700
2020-10-27,113.09892272949219,113.75850508779021,111.10077943831497,112.02225141814819,92276800
2020-10-28,107.86106872558594,111.96406058991157,107.76407283902445,111.59547326085323,143937800
2020-10-29,111.85736846923828,113.41902674173545,108.83104781563942,108.99594897135509,146129200
2020-10-30,105.59133911132812,108.6273541724171,104.4855696692542,107.72527832227131,190272600
2020-11-02,105.50402069091797,107.35667373960923,104.09756199136386,105.8338155489353,122866900
2020-11-03,107.12389373779297,108.14236164402186,105.46523966166725,106.36731546450528,107624400
2020-11-04,111.49846649169922,112.11924902667879,108.97653651830575,110.71279021468385,138235500
2020-11-05,115.45596313476562,116.02825144019144,113.36082388514865,114.40838980980128,126387100
2020-11-06,115.32479095458984,115.8203256136095,112.83736946099638,114.96527887670223,114457900
2020-11-09,113.0219955444336,118.53123307425452,112.75965407719045,117.08348090470506,154515300
2020-11-10,112.68191528320312,114.25597883957684,110.8940807658282,112.27382528066764,138023400
2020-11-11,116.10211944580078,116.2381494579348,113.1385999950758,113.86733537997074,112295000
2020-11-12,115.83003997802734,117.1126137436234,115.20818648034917,116.22841881317535,103162300
2020-11-13,115.878662109375,116.27703365800936,114.5280729200396,116.05355892448006,81581900
2020-11-16,116.88915252685547,117.55958400464418,114.80010971790968,115.54827474511946,91183000
2020-11-17,116.00493621826172,117.24864320805052,115.58712770640344,116.16040329852451,74271000
2020-11-18,114.68347930908203,116.42272810245849,114.65433108896535,115.24703627492907,76322100
2020-11-19,115.27619934082031,115.68428930116418,113.4980835539356,114.25596702688232,74113000
2020-11-20,114.01306915283203,115.40252482669361,113.96449124482857,115.27621337018954,73604300
2020-11-23,110.62203216552734,114.28514625847261,110.52486892820643,113.85761911856477,127959300
2020-11-24,111.90459442138672,112.56531474410036,109.39774313111327,110.68032441615657,113874200
2020-11-25,112.74021911621094,113.43980625953591,111.90460196313715,112.27383262938065,76499200
2020-11-27,113.2843246459961,114.15880846315034,112.92481998616722,113.26489496698315,46691300
2020-11-30,115.67459869384766,117.5401594833683,113.49810369299398,113.6535707986605,169410200
2020-12-01,119.24053955078125,119.9692749139944,116.60737666127397,117.57902381222483,127728200
2020-12-02,119.59030151367188,119.87208000255069,117.46239244325318,118.5603507649582,89004200
